BROKERTITLE,count,median
classic service inc,1,1250000.0
citi star,1,258000.0
citizens,1,975000.0
city advance inc,1,568000.0
city homes,1,1359000.0
city house inc,1,649000.0
charmed,1,1390000.0
chase real,1,715000.0
real estate property,1,350000.0
qwest property  inc,1,1525000.0
r a l enterprises,1,790000.0
r a s equity partners,1,634999.0
rad marketing corp,1,199900.0
raimondo ronald,1,1099000.0
royal house inc,1,588888.0
royal york inc,1,1680000.0
citywide deals,1,1899000.0
citywide homes,1,825000.0
claire,1,774888.0
clarke,1,570000.0
realmart,1,789000.0
realty by the park inc santana real estate,1,668000.0
rc house sales corp,1,875000.0
real estate authorities inc,1,499000.0
cana,1,1288000.0
capri jet corp,1,1099000.0
carini  carini,1,525000.0
cohen and cohen consulting,1,469888.0
coleman real estate team,1,285000.0
comfort homes,1,299000.0
commerce,1,575000.0
community home sales inc,1,385000.0
real estate trade co inc,1,2500000.0
real new york chelsea,1,575000.0
real street inc,1,1499000.0
century 21 dawn s gold,1,979000.0
century 21 dawns gold,1,699999.0
c r real estate  ny,1,790000.0
call it home,1,699000.0
campione,1,1450000.0
reserve,1,32000000.0
resource,1,275000.0
richard greco real estate,1,779000.0
richmond homes real estate inc,1,1400000.0
richmont,1,1090000.0
rising star and property management inc,1,735000.0
realty quest new york inc,1,215000.0
regent,1,999000.0
bo s prime,1,239000.0
century 21 papp,1,880000.0
century 21 royal,1,1499000.0
century 21 sahara,1,850000.0
century 21 zaloom,1,699900.0
century 21 future homes,1,190000.0
century 21 marciano,1,1299000.0
reony com ltd,1,329900.0
botton,1,998000.0
brai braithwaite,1,2150000.0
braithwaite,1,850000.0
brick mortar,1,1995000.0
blooming,1,678990.0
blue key real estate brokerage,1,11000000.0
blueprint equities,1,980000.0
bmb living inc,1,410000.0
roz khan,1,625000.0
rubirosa,1,1900000.0
rumic inc,1,859000.0
russo,1,1265000.0
s h v real estate corp,1,849000.0
s sharf inc,1,1699999.0
rk capital,1,568000.0
brown harris stvns forest hill,1,695000.0
soler,1,805000.0
shares of new york marketing,1,729888.0
shaw,1,489000.0
silver,1,799000.0
silversons,1,1296000.0
simplon enterprises inc,1,560000.0
sari kingsley real estate,1,899000.0
scope bx,1,829000.0
bellmarc,1,795000.0
buy for less,1,345000.0
buy rite home sales inc,1,899999.0
buzz,1,350000.0
c j robin s real estate,1,320000.0
broadway,1,2300000.0
brooklyn bound corp,1,2295000.0
brooklyn rential real estate services,1,897000.0
best find,1,219000.0
best service corp,1,365000.0
ben bay rlty co of ave u,1,299000.0
ben bay rlty of marine pk,1,259000.0
baring homes corp,1,789000.0
bayview marketing,1,530000.0
belle harbor,1,349000.0
belle maison inc,1,1150000.0
renken,1,1200000.0
reo first choice,1,749000.0
space marketing shop inc,1,1500000.0
spiegel,1,899999.0
sky port homes,1,450000.0
skylux,1,1388000.0
slate,1,399999.0
sloane square,1,1200000.0
virginia rallis,1,130000.0
vismith,1,749000.0
american dream homes inc,1,475000.0
alta real estate,1,1650000.0
vylla homes,1,551000.0
wagner kelly inc,1,1273000.0
wallace enrique,1,500000.0
axe nyc,1,680000.0
anita loewy,1,2795000.0
venezia,1,370000.0
bah,1,460000.0
tri state han mi inc,1,699000.0
welcome home network,1,859000.0
welcome home r e sunny,1,375000.0
american dream kalaba,1,3200000.0
werba,1,1245000.0
velez corp,1,899000.0
aliano real estate,1,3000000.0
turfnyc,1,2300000.0
tworealestate,1,257000.0
tyme corp,1,1100000.0
ubiq ny ltd,1,1990000.0
1 oak real estate hub inc,1,1200000.0
world prop intl sea to sky,1,399990.0
sysak sells,1,735000.0
staten island homes corp,1,1199000.0
station cities,1,999000.0
stone hill real estate,1,850000.0
stonegate real estate,1,1049000.0
strictly,1,1600000.0
usrealty com,1,479000.0
vantage partners,1,681000.0
holly s staten island buzz inc,1,1338000.0
home source inc,1,845000.0
home sweet homes real prop inc,1,850000.0
homelink homes,1,799999.0
heisman,1,539000.0
herman co new york,1,639000.0
highline rential,1,600000.0
highlite homes,1,536000.0
your home sold guaranteed,1,1150000.0
your home sold guaranteed advisor,1,164999.0
wiesner rocio d,1,625000.0
william raveis new york city,1,1395000.0
william raveis real estate yorktown heights,1,289999.0
a j of queens inc,1,899000.0
horowitz real estate,1,305000.0
hollingsworth real estate grou,1,1290000.0
true north luxury homes,1,879000.0
trusted property advisors corp,1,1474000.0
tudo tudor services,1,299000.0
toscana property,1,2500000.0
tree of life management,1,2759000.0
all century,1,765000.0
wrl,1,379000.0
yaos,1,1080000.0
azbel real estate inc,1,475000.0
all going,1,1475000.0
arc,1,1249000.0
argo argo rential,1,568000.0
aschan,1,649999.0
asimina perikleous,1,705000.0
unimax co inc,1,998000.0
true homes inc,1,1300000.0
