BROKERTITLE,TYPE,PRICE,BEDS,BATH,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PROPERTYM2,BOROUGH,price_outlier,PROPERTYM2_log,price_per_m2
exp,townhouse,650000,3,2,"1544 Ohm Ave, Bronx, NY 10465, USA",40.8454501,-73.8209766,152.175114,Bronx,False,2.1823436357712094,4271.394861580324
douglas elliman,condo,500000,4,3,"251 W 89th St #6e, New York, NY 10024, USA",40.7905714,-73.9753392,166.667982,Manhattan,False,2.221852177054883,2999.9763241868495
real estate property,house,350000,2,1,"750 Patterson Ave, Staten Island, NY 10306, USA",40.5731273,-74.089182,45.52247,Staten Island,False,1.6582258183753233,7688.5107508445835
corcoran,house,1099000,4,2,"204-34 9th Ave, Breezy Point, NY 11697, USA",40.5595612,-73.9147409,202.91946300338603,Queens,False,2.307323704350202,5415.94179155531
re/max,co op,90000,1,1,"1383 Plimpton Ave #1c, Bronx, NY 10452, USA",40.8423705,-73.9234444,41.80635,Bronx,False,1.6212422521221532,2152.7830102364833
laffey real estate,house,839000,4,2,"158-35 87th St, Jamaica, NY 11414, USA",40.6590909,-73.8451972,202.91946300338603,Queens,False,2.307323704350202,4134.645280359331
century 21 professional,house,659000,8,3,"148-05 111th Ave, Jamaica, NY 11435, USA",40.688533,-73.796529,202.91946300338603,Queens,False,2.307323704350202,3247.593849531346
anthony napolitano homes,house,399999,3,1,"178 Beach 24th St, Far Rockaway, NY 11691, USA",40.5950021,-73.7577376,202.91946300338603,Queens,False,2.307323704350202,1971.2204737764628
homefinders of si inc,condo,250000,3,1,"3105 Ave V #1f, Brooklyn, NY 11229, USA",40.5997081,-73.9344974,202.91946300338603,Brooklyn,False,2.307323704350202,1232.0158761499795
epiphany,house,650000,4,2,"115- 115 220th St, Cambria Heights, NY 11411, USA",40.6968706,-73.7390395,208.474332,Queens,False,2.3190525909309336,3117.8898321161187
re/max,house,1165000,3,4,"67 Dexter Ave, Staten Island, NY 10309, USA",40.5397292,-74.2155251,325.1605,Staten Island,False,2.512097782697085,3582.8460098935757
homes r us of ny inc,house,729900,3,2,"447 Vernon Ave, Staten Island, NY 10309, USA",40.5302132,-74.1981906,106.83845,Staten Island,False,2.0287275787004213,6831.810083354822
winzone inc,house,1880000,3,4,"3758 Bayview Ave, Brooklyn, NY 11224, USA",40.5805262,-74.0061062,292.64445,Brooklyn,False,2.46634029213641,6424.177871816807
charles h greenthal property,co op,449000,2,2,"26910 Grand Central Pkwy #22l, Queens, NY 11005, USA",40.7577991,-73.7159564,143.906747,Queens,False,2.158081156106016,3120.0760864950967
